,postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,Unnamed: 0,id,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating
20,0850,906,3298,25.0,41615,4605,2979,34031,823,81,2,77527,"496,170",123.1,212,20066,COSSACK,NT,132.17210409999998,-14.46369137,Katherine,Delivery Area,Updated 3-Dec-2022,70205.0,Katherine,702.0,Northern Territory - Outback,R1,-14.5052,132.19299999999998,70205106712.0,70205106712.0,702051067.0,Katherine,70205.0,Katherine,702.0,Northern Territory - Outback,4.0,4.0,6.0,6.0,,137.011566162109,NT1,PHN701,Northern Territory,Katherine,72200.0,Lingiari,Rural
21,0852,284,3326,6.0,4654,1082,2478,1094,201,80,3,8261,"52,870",12.8,219,20071,ARNOLD,NT,130.84186609999998,-16.4525888,Katherine,Delivery Area,Updated 3-Dec-2022,70205.0,Katherine,702.0,Northern Territory - Outback,R1,-16.4713,134.287,70205106508.0,70205106508.0,702051065.0,Elsey,70205.0,Katherine,702.0,Northern Territory - Outback,5.0,5.0,7.0,7.0,,97.4471206665039,NT1,PHN701,Northern Territory,Victoria Daly,74550.0,Lingiari,Rural
22,0853,2,190,0.5,53,3,50,0,1,1,0,14440,"92,418",22.8,275,20112,TINDAL,NT,132.37912169999998,-14.53113365,Northern Territory Country 1,Delivery Area,Updated 3-Dec-2022,70205.0,Katherine,702.0,Northern Territory - Outback,R1,-14.5473,132.374,70205106717.0,70205106717.0,702051067.0,Katherine,70205.0,Katherine,702.0,Northern Territory - Outback,4.0,4.0,6.0,6.0,,138.497604370117,NT1,PHN701,Northern Territory,Katherine,72200.0,Lingiari,Rural
23,0854,17,329,3.3,234,60,174,0,11,6,0,5539,"35,452",8.7,277,378,BORROLOOLA,NT,136.42419099999998,-16.503809,,,Updated 3-Dec-2022,70205.0,Katherine,702.0,Northern Territory - Outback,R1,-16.068446100000006,136.3097128,70205106601.0,70205106601.0,702051066.0,Gulf,70205.0,Katherine,702.0,Northern Territory - Outback,5.0,5.0,7.0,7.0,,121.54807281494101,NT1,PHN701,Northern Territory,Roper Gulf,73600.0,Lingiari,Rural
24,0860,150,1214,11.1,1086,711,375,0,135,15,0,29800,"190,721",48.9,279,380,TENNANT CREEK,NT,134.173599,-19.641301,,,Updated 3-Dec-2022,70202.0,Barkly,702.0,Northern Territory - Outback,R1,-19.6573896,134.1815176,70202105608.0,70202105608.0,702021056.0,Tennant Creek,70202.0,Barkly,702.0,Northern Territory - Outback,5.0,5.0,7.0,7.0,,,NT1,PHN701,Northern Territory,Barkly,70420.0,Lingiari,Rural
25,0862,59,699,5.3,590,201,389,0,37,22,0,0,0,0.0,282,383,AVON DOWNS,NT,134.463153,-18.251528,,,Updated 3-Dec-2022,70205.0,Katherine,702.0,Northern Territory - Outback,R1,-20.0303016,137.49052749999998,70202105502.0,70202105502.0,702021055.0,Barkly,70202.0,Barkly,702.0,Northern Territory - Outback,5.0,5.0,7.0,7.0,,203.781051635742,NT1,PHN701,Northern Territory,Barkly,70420.0,Lingiari,Rural
26,0870,2829,9172,28.9,20584,12726,6014,1844,2650,173,6,179322,"1,147,661",294.6,299,396,ALICE SPRINGS,NT,133.86314,-23.702291,,,Updated 3-Dec-2022,70201.0,Alice Springs,702.0,Northern Territory - Outback,R1,-23.698042,133.88074709999998,70201104510.0,70201104510.0,702011045.0,Charles,70201.0,Alice Springs,702.0,Northern Territory - Outback,4.0,4.0,6.0,6.0,,576.998474121094,NT1,PHN701,Northern Territory,Alice Springs,70200.0,Lingiari,Rural
27,0872,274,5145,3.3,7674,825,2698,4151,172,92,10,734,"4,696",1.2,311,398,AHERRENGE,NT,131.298809,-21.949513,,,Updated 3-Dec-2022,70202.0,Barkly,702.0,Northern Territory - Outback,R1,-21.6721,135.232,70201105209.0,70201105209.0,702011052.0,Sandover - Plenty,70201.0,Alice Springs,702.0,Northern Territory - Outback,5.0,5.0,7.0,7.0,,311.383880615234,NT1,PHN701,Northern Territory,Central Desert,70620.0,Lingiari,Rural
28,0873,157,1851,7.9,1485,917,270,298,146,10,1,32502,"208,015",53.1,421,20193,AMOONGUNA,NT,133.9050112,-23.74471408,,Delivery Area,Updated 3-Dec-2022,70202.0,Barkly,702.0,Northern Territory - Outback,R1,-23.7638,133.929,70201105203.0,70201105203.0,702011052.0,Sandover - Plenty,70201.0,Alice Springs,702.0,Northern Territory - Outback,4.0,4.0,6.0,6.0,,546.230285644531,NT1,PHN701,Northern Territory,Alice Springs,70200.0,Lingiari,Rural
29,0874,21,303,6.6,161,121,40,0,20,1,0,3646,"23,336",6.0,428,20199,IRLPME,NT,133.8647591,-23.64690294,,Delivery Area,Updated 3-Dec-2022,,,,,R1,-23.6407,133.866,70201104813.0,70201104813.0,702011048.0,Larapinta,70201.0,Alice Springs,702.0,Northern Territory - Outback,4.0,4.0,6.0,6.0,,612.377380371094,NT1,PHN701,Northern Territory,Alice Springs,70200.0,Lingiari,
30,0875,164,1024,15.2,1133,894,239,0,156,8,0,13650,"87,362",22.3,431,20202,FLYNN,NT,133.8354205,-23.71350386,,Delivery Area,Updated 3-Dec-2022,,,,,R1,-23.7208,133.865,70201104701.0,70201104701.0,702011047.0,Flynn (NT),70201.0,Alice Springs,702.0,Northern Territory - Outback,4.0,4.0,6.0,6.0,,635.180114746094,NT1,PHN701,Northern Territory,Alice Springs,70200.0,Lingiari,Rural
31,0880,29,1678,0.9,931,45,451,435,15,13,1,0,0,0.0,433,20204,GAPUWIYAK,NT,135.79542859999998,-12.50557433,Northern Territory Country 4,Delivery Area,Updated 3-Dec-2022,70204.0,East Arnhem,702.0,Northern Territory - Outback,R1,-12.5032,135.806,70204106303.0,70204106303.0,702041063.0,East Arnhem,70204.0,East Arnhem,702.0,Northern Territory - Outback,5.0,5.0,7.0,7.0,,7.18359804153442,NT1,PHN701,Northern Territory,East Arnhem,71300.0,Lingiari,Rural
32,0885,24,348,2.0,772,44,728,0,7,17,0,0,0,0.0,439,20207,ALYANGULA,NT,136.420066,-13.85078586,Northern Territory Country 4,Delivery Area,Updated 3-Dec-2022,70204.0,East Arnhem,702.0,Northern Territory - Outback,R1,-13.8529,136.422,70204106202.0,70204106202.0,702041062.0,Anindilyakwa,70204.0,East Arnhem,702.0,Northern Territory - Outback,5.0,5.0,7.0,7.0,,21.4030857086182,NT1,PHN701,Northern Territory,East Arnhem,71300.0,Lingiari,Rural
33,0886,12,604,0.7,8622,21,151,8450,4,7,1,10849,"69,436",16.6,440,457,JABIRU,NT,132.56337299999998,-13.13118,,,Updated 3-Dec-2022,70203.0,Daly - Tiwi - West Arnhem,702.0,Northern Territory - Outback,R1,-12.6688351,132.8345405,70203105712.0,70203105712.0,702031057.0,Alligator,70203.0,Daly - Tiwi - West Arnhem,702.0,Northern Territory - Outback,4.0,4.0,6.0,6.0,,,NT1,PHN701,Northern Territory,West Arnhem,74660.0,Lingiari,Rural
34,2000,66,821,2.8,2677,99,1556,1022,23,40,3,56265,"360,097",72.1,715,20208,BARANGAROO,NSW,151.2015802,-33.86051951,Sydney Metro,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1,-33.8638,151.202,11703133727.0,11703133727.0,117031337.0,Sydney - Haymarket - The Rocks,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,1.0,1.0,1.0,1.0,Sydney,,N1,PHN101,Central and Eastern Sydney,Sydney,17200.0,Sydney,Inner Metropolitan
35,2007,31,288,7.3,440,82,358,0,21,10,0,16683,"106,772",21.4,729,4490,BROADWAY,NSW,151.19665,-33.883189,BROADWAY POST SHOP,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1,-33.8842554,151.1982225,11703133427.0,11703133453.0,117031334.0,Pyrmont - Ultimo,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,1.0,1.0,1.0,1.0,Sydney,,N1,PHN101,Central and Eastern Sydney,Sydney,17200.0,Sydney,Inner Metropolitan
36,2008,99,1253,6.1,939,275,664,0,77,22,0,19225,"123,041",24.7,731,4492,CHIPPENDALE,NSW,151.193858,-33.891146,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1,-33.8863,151.1999,11703133528.0,11703133528.0,117031335.0,Redfern - Chippendale,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,1.0,1.0,1.0,1.0,Sydney,23.646982192993196,N1,PHN101,Central and Eastern Sydney,Sydney,17200.0,Sydney,Inner Metropolitan
37,2009,27,676,1.9,1667,50,662,955,13,11,3,18489,"118,330",23.8,734,4495,DARLING ISLAND,NSW,151.19305500000004,-33.871222,Sydney Metro,,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1,-33.8649,151.196,11703133411.0,11703133411.0,117031334.0,Pyrmont - Ultimo,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,1.0,1.0,1.0,1.0,Sydney,6.3694562911987305,N1,PHN101,Central and Eastern Sydney,Sydney,17200.0,Sydney,Inner Metropolitan
38,2010,224,4212,4.4,1641,718,923,0,187,37,0,55246,"353,576",71.1,736,4497,DARLINGHURST,NSW,151.212262,-33.884119,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1,-33.87801760000001,151.22044409999995,11703132922.0,11703132922.0,117031329.0,Darlinghurst,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,1.0,1.0,1.0,1.0,Sydney,,N1,PHN101,Central and Eastern Sydney,Sydney,17200.0,Wentworth,Inner Metropolitan
39,2011,58,1609,2.1,863,129,734,0,34,24,0,27559,"176,379",35.7,739,4500,ELIZABETH BAY,NSW,151.221626,-33.873599,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1,-33.87143,151.22841,11703133331.0,11703133331.0,117031333.0,Potts Point - Woolloomooloo,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,1.0,1.0,1.0,1.0,Sydney,32.6687850952148,N1,PHN101,Central and Eastern Sydney,Sydney,17200.0,Wentworth,Inner Metropolitan
40,2015,315,1882,11.4,6458,900,4036,1522,215,96,4,111985,"716,707",144.7,747,4508,ALEXANDRIA,NSW,151.194825,-33.910105,ALEXANDRIA DF,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1,-33.9080273,151.1902576,11703133018.0,11703133018.0,117031330.0,Erskineville - Alexandria,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,1.0,1.0,1.0,1.0,Sydney,10.655048370361301,N1,PHN101,Central and Eastern Sydney,Sydney,17200.0,Sydney,Inner Metropolitan
41,2016,161,2135,6.6,1313,522,507,284,141,19,1,25204,"161,303",32.4,750,4511,REDFERN,NSW,151.206211,-33.894912,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1,-33.892215,151.205873,11703133536.0,11703133536.0,117031335.0,Redfern - Chippendale,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,1.0,1.0,1.0,1.0,Sydney,34.336433410644496,N1,PHN101,Central and Eastern Sydney,Sydney,17200.0,Sydney,Inner Metropolitan
42,2017,112,1282,5.9,1662,324,1338,0,76,36,0,38899,"248,954",50.0,751,4512,WATERLOO,NSW,151.206316,-33.903892,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1,-33.9002604,151.2061803,11703133836.0,11703133836.0,117031338.0,Waterloo - Beaconsfield,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,1.0,1.0,1.0,1.0,Sydney,23.6328830718994,N1,PHN101,Central and Eastern Sydney,Sydney,17200.0,Sydney,Inner Metropolitan
43,2018,494,2772,15.7,3251,2012,1239,0,436,58,0,55474,"355,036",71.4,754,4514,EASTLAKES,NSW,151.202697,-33.9233,ALEXANDRIA DF,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1,-33.9219899,151.20733,11703133826.0,11703133826.0,117031338.0,Waterloo - Beaconsfield,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,1.0,1.0,1.0,1.0,Kingsford Smith,17.0219821929932,N1,PHN101,Central and Eastern Sydney,Sydney,17200.0,Sydney,Inner Metropolitan
44,2019,491,2432,16.0,4952,1766,3186,0,390,101,0,111059,"710,774",145.9,756,4516,BANKSMEADOW,NSW,151.207285,-33.946923,ALEXANDRIA DF,Delivery Area,Updated 6-Feb-2020,11701.0,Botany,117.0,Sydney - City and Inner South,R1,-33.95731,151.20699,11701132001.0,11701132001.0,117011320.0,Banksmeadow,11701.0,Botany,117.0,Sydney - City and Inner South,1.0,1.0,1.0,1.0,Kingsford Smith,,N1,PHN101,Central and Eastern Sydney,Randwick,16550.0,Barton,
45,2020,436,2236,17.0,4364,1688,1967,709,380,54,2,89051,"569,928",113.3,758,4518,MASCOT,NSW,151.176775,-33.936179,ALEXANDRIA DF,Delivery Area,Updated 6-Feb-2020,11702.0,Marrickville - Sydenham - Petersham,117.0,Sydney - City and Inner South,R1,-33.9296324,151.19462230000005,11701132209.0,11701132209.0,117011322.0,Mascot - Eastlakes,11701.0,Botany,117.0,Sydney - City and Inner South,1.0,1.0,1.0,1.0,Kingsford Smith,,N1,PHN101,Central and Eastern Sydney,Bayside,10500.0,Sydney,
46,2021,290,4536,5.7,1942,1091,851,0,258,32,0,40176,"257,127",51.8,761,4521,CENTENNIAL PARK,NSW,151.227236,-33.895705,Sydney Metro,,Updated 6-Feb-2020,11802.0,Eastern Suburbs - South,118.0,Sydney - Eastern Suburbs,R1,-33.8943,151.233,11801134201.0,11801134201.0,118011342.0,Centennial Park,11801.0,Eastern Suburbs - North,118.0,Sydney - Eastern Suburbs,1.0,1.0,1.0,1.0,Wentworth,,N1,PHN101,Central and Eastern Sydney,Sydney,17200.0,Wentworth,Inner Metropolitan
47,2022,351,2569,12.5,1987,1457,530,0,322,29,0,33800,"216,322",43.5,764,4524,BONDI JUNCTION,NSW,151.245049,-33.896401000000004,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11801.0,Eastern Suburbs - North,118.0,Sydney - Eastern Suburbs,R1,-33.89145,151.2497,11801134114.0,11801134114.0,118011341.0,Bondi Junction - Waverly,11801.0,Eastern Suburbs - North,118.0,Sydney - Eastern Suburbs,1.0,1.0,1.0,1.0,Wentworth,,N1,PHN101,Central and Eastern Sydney,Waverley,18050.0,Wentworth,Inner Metropolitan
48,2023,320,1713,13.7,2516,1254,1262,0,234,86,0,32095,"205,406",41.4,767,4527,BELLEVUE HILL,NSW,151.25591,-33.884685,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11801.0,Eastern Suburbs - North,118.0,Sydney - Eastern Suburbs,R1,-33.882695500000004,151.2539627,11801134313.0,11801134313.0,118011343.0,Double Bay - Bellevue Hill,11801.0,Eastern Suburbs - North,118.0,Sydney - Eastern Suburbs,1.0,1.0,1.0,1.0,Wentworth,98.4378204345703,N1,PHN101,Central and Eastern Sydney,Waverley,18050.0,Wentworth,Inner Metropolitan
49,2024,473,2213,18.6,3223,1933,1290,0,412,61,0,27898,"178,548",35.9,768,4528,BRONTE,NSW,151.259392,-33.904414,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11801.0,Eastern Suburbs - North,118.0,Sydney - Eastern Suburbs,R1,-33.90532,151.26068999999995,11801133904.0,11801133904.0,118011339.0,Bondi - Tamarama - Bronte,11801.0,Eastern Suburbs - North,118.0,Sydney - Eastern Suburbs,1.0,1.0,1.0,1.0,Wentworth,73.60057067871091,N1,PHN101,Central and Eastern Sydney,Waverley,18050.0,Wentworth,Inner Metropolitan
50,2025,171,1730,8.6,1127,743,384,0,149,22,0,20893,"133,716",26.9,771,4531,WOOLLAHRA,NSW,151.240508,-33.88871,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11801.0,Eastern Suburbs - North,118.0,Sydney - Eastern Suburbs,R1,-33.8865002,151.2437606,11801134705.0,11801134705.0,118011347.0,Woollahra,11801.0,Eastern Suburbs - North,118.0,Sydney - Eastern Suburbs,1.0,1.0,1.0,1.0,Wentworth,,N1,PHN101,Central and Eastern Sydney,Woollahra,18500.0,Wentworth,Inner Metropolitan
51,2026,739,3876,17.0,4295,3095,1200,0,657,82,0,61928,"396,340",79.8,772,4532,BEN BUCKLER,NSW,151.268968,-33.891040999999994,Sydney Metro,,Updated 6-Feb-2020,11801.0,Eastern Suburbs - North,118.0,Sydney - Eastern Suburbs,R1,-33.8898,151.283,11801134033.0,11801134033.0,118011340.0,Bondi Beach - North Bondi,11801.0,Eastern Suburbs - North,118.0,Sydney - Eastern Suburbs,1.0,1.0,1.0,1.0,Wentworth,,N1,PHN101,Central and Eastern Sydney,Waverley,18050.0,Wentworth,Inner Metropolitan
